cycle,time,phi1,Ex1,Ey1
20,1e-10,4.963067e-01,3.704981e-01,-1.048066e-01
40,2e-10,5.117882e-01,4.444238e-01,-1.342260e-01
60,3e-10,5.255148e-01,4.386460e-01,-9.890194e-02
80,4e-10,5.207050e-01,4.174054e-01,-8.080486e-03
100,5e-10,4.975846e-01,5.214903e-01,8.813271e-02
120,6e-10,4.734631e-01,5.228172e-01,-7.215799e-02
140,7e-10,4.685825e-01,4.528255e-01,-1.080961e-02
160,8e-10,4.816613e-01,4.892230e-01,3.263669e-02
180,9e-10,4.875556e-01,4.740760e-01,-8.901438e-03
200,1e-09,4.648876e-01,6.027440e-01,-4.378873e-02
220,1.1e-09,4.267597e-01,7.314446e-01,4.001151e-02
240,1.2e-09,4.114215e-01,5.973821e-01,3.531898e-03
260,1.3e-09,4.221740e-01,7.145567e-01,6.710565e-03
280,1.4e-09,4.337023e-01,7.506127e-01,1.067391e-01
300,1.5e-09,4.106635e-01,7.544836e-01,1.404285e-01
320,1.6e-09,3.700149e-01,9.792523e-01,-1.212355e-02
340,1.7e-09,3.497557e-01,8.378025e-01,2.467740e-02
360,1.8e-09,3.633142e-01,7.775930e-01,1.606912e-02
380,1.9e-09,3.794309e-01,8.742421e-01,3.704160e-02
400,2e-09,3.631267e-01,8.917864e-01,5.140447e-02
420,2.1e-09,3.223939e-01,1.018859e+00,4.388630e-02
440,2.2e-09,3.044522e-01,1.050871e+00,2.141228e-01
460,2.3e-09,3.278181e-01,9.037641e-01,8.793218e-02
480,2.4e-09,3.524165e-01,8.771805e-01,1.309928e-01
500,2.5e-09,3.396371e-01,1.038888e+00,-6.859496e-04
520,2.6e-09,3.077238e-01,1.206268e+00,1.172067e-01
540,2.7e-09,3.053792e-01,9.813550e-01,1.001876e-01
560,2.8e-09,3.414468e-01,1.062275e+00,1.774333e-01
580,2.9e-09,3.781010e-01,9.675299e-01,1.161127e-01
600,3e-09,3.805746e-01,1.050337e+00,1.016272e-01
620,3.1e-09,3.796938e-01,1.005102e+00,7.860533e-02
640,3.2e-09,4.151264e-01,1.038350e+00,1.087904e-01
660,3.3e-09,4.941609e-01,1.131866e+00,-5.427875e-02
680,3.4e-09,5.827034e-01,9.685414e-01,-4.617431e-02
700,3.5e-09,6.440567e-01,1.099023e+00,7.128683e-02
720,3.6e-09,7.128767e-01,1.138130e+00,4.547210e-02
740,3.7e-09,8.094066e-01,1.092519e+00,-5.611633e-02
760,3.8e-09,9.236793e-01,1.154697e+00,-1.624056e-02
780,3.9e-09,1.018544e+00,9.622068e-01,-6.955208e-02
800,4e-09,1.067452e+00,1.001911e+00,-4.581706e-02
820,4.1e-09,1.078980e+00,1.193932e+00,-4.797280e-03
840,4.2e-09,1.081781e+00,1.108842e+00,1.304154e-01
860,4.3e-09,1.069245e+00,1.015171e+00,2.338619e-01
880,4.4e-09,1.019166e+00,1.050750e+00,2.109318e-01
900,4.5e-09,9.250224e-01,1.130961e+00,3.730505e-02
920,4.6e-09,8.132625e-01,1.217352e+00,5.623245e-02
940,4.7e-09,7.132968e-01,1.018284e+00,1.183497e-01
960,4.8e-09,6.470353e-01,8.317831e-01,-5.116904e-03
980,4.9e-09,5.787086e-01,1.011019e+00,1.671358e-01
1000,5e-09,4.915659e-01,1.148918e+00,1.566875e-01
1020,5.1e-09,4.136185e-01,1.107793e+00,1.889826e-01
1040,5.2e-09,3.797803e-01,9.300360e-01,2.078013e-01
1060,5.3e-09,3.853550e-01,7.995293e-01,1.181992e-01
1080,5.4e-09,3.790577e-01,9.252631e-01,1.556281e-01
1100,5.5e-09,3.473593e-01,1.079415e+00,1.204173e-01
1120,5.6e-09,3.162674e-01,1.107592e+00,2.833445e-01
1140,5.7e-09,3.249359e-01,1.029552e+00,1.346688e-01
1160,5.8e-09,3.625754e-01,9.472199e-01,3.066722e-02
1180,5.9e-09,3.816826e-01,9.623137e-01,1.086738e-01
1200,6e-09,3.716438e-01,1.036966e+00,3.844587e-02
1220,6.1e-09,3.683293e-01,8.796351e-01,1.055605e-01
1240,6.2e-09,4.094108e-01,9.698926e-01,2.032911e-01
1260,6.3e-09,4.849735e-01,1.049227e+00,-7.978408e-02
1280,6.4e-09,5.498654e-01,9.454651e-01,5.448407e-02
1300,6.5e-09,5.998189e-01,9.545224e-01,1.240830e-01
1320,6.6e-09,6.636598e-01,1.134639e+00,-6.455722e-02
1340,6.7e-09,7.608891e-01,1.061200e+00,5.572611e-02
1360,6.8e-09,8.739393e-01,1.052323e+00,1.273385e-01
1380,6.9e-09,9.600045e-01,1.234293e+00,1.973968e-01
1400,7e-09,1.013586e+00,1.182462e+00,2.204923e-01
1420,7.1e-09,1.042415e+00,1.061937e+00,1.011998e-01
1440,7.2e-09,1.061027e+00,1.142882e+00,9.640421e-02
1460,7.3e-09,1.062237e+00,1.089238e+00,5.265767e-02
1480,7.4e-09,1.020185e+00,1.008645e+00,7.459584e-02
1500,7.5e-09,9.351043e-01,1.118545e+00,1.075505e-01
1520,7.6e-09,8.383316e-01,1.102170e+00,9.452087e-02
1540,7.7e-09,7.558600e-01,1.093389e+00,1.759636e-01
1560,7.8e-09,6.850098e-01,8.835093e-01,1.690076e-02
1580,7.9e-09,6.052158e-01,7.931244e-01,1.802035e-01
1600,8e-09,5.177493e-01,1.100894e+00,1.233789e-01
1620,8.1e-09,4.516683e-01,9.331775e-01,1.872004e-01
1640,8.2e-09,4.197567e-01,1.023710e+00,1.975827e-01
1660,8.3e-09,4.102996e-01,8.756771e-01,2.530243e-01
1680,8.4e-09,3.923506e-01,9.545752e-01,1.724959e-01
1700,8.5e-09,3.594995e-01,1.090139e+00,1.585862e-01
1720,8.6e-09,3.414788e-01,9.816256e-01,4.122208e-01
1740,8.7e-09,3.549346e-01,9.713296e-01,2.269380e-01
1760,8.8e-09,3.756253e-01,8.730333e-01,1.994998e-01
1780,8.9e-09,3.841420e-01,9.814817e-01,2.631136e-01
1800,9e-09,3.807106e-01,9.686912e-01,1.831706e-01
1820,9.1e-09,3.935871e-01,9.811130e-01,-1.369518e-02
1840,9.2e-09,4.291003e-01,1.002036e+00,2.516904e-01
1860,9.3e-09,4.858756e-01,9.805527e-01,1.094812e-02
1880,9.4e-09,5.445759e-01,1.002601e+00,1.230718e-01
1900,9.5e-09,6.041645e-01,9.790897e-01,8.984513e-03
1920,9.6e-09,6.775505e-01,9.545153e-01,4.953570e-02
1940,9.7e-09,7.638003e-01,9.779077e-01,1.552572e-01
1960,9.8e-09,8.613021e-01,1.058065e+00,1.457979e-01
1980,9.9e-09,9.509286e-01,1.241095e+00,7.897226e-02
2000,1e-08,1.010337e+00,1.017157e+00,1.735356e-01
